"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Abu Hamid","AHA","Cicer arietinum L.","Fabaceae","Cicer","D",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Ficus sp.","Moraceae","Ficus","W",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Lathyrus sativus L.","Fabaceae","Lathyrus","D",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Lens culinaris Medik.","Fabaceae","Lens","D",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Linum usitatissimum L.","Linaceae","Linum","D",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Olea europaea L.","Oleaceae","Olea","D",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Triticum dicoccum grains","Poaceae","Triticum","D",0,0,"Late Chalcolithic"
"Abu Hamid","AHA","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",0,0,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Adonis sp.","Ranunculaceae","Adonis","W",0,25,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Aegilops sp. grains","Poaceae","Aegilops","W",0,50,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Aegilops sp. glume bases (spikelet bases)","Poaceae","Aegilops","W",0,40,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Ajuga sp.","Lamiaceae","Ajuga","W",0,25,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Avena sp.","Poaceae","Avena","W",0,5,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Bromus sp.","Poaceae","Bromus","W",0,25,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Carthamus sp. L.","Asteraceae","Carthamus","W",0,5,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Celtis sp.","Ulmaceae","Celtis","W",0,10,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Centaurea sp. L.","Asteraceae","Centaurea","W",0,25,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Cereal indeterminate culm","Poaceae","-","D",0,70,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Cereal indeterminate rachis","Poaceae","-","D",0,15,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Asteraceae indet.","Asteraceae","-","W",0,20,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Coriandrum sativum","Apiaceae","Coriandrum","D",0,5,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Crataegus sp. L.","Rosaceae","Crataegus","W",0,15,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Brassicaceae indet.","Brassicaceae","-","W",0,25,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Echinochloa sp.","Poaceae","Echinochloa","W",0,5,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Euclidium syriacum (L.) R.","Brassicaceae","Euclidium","W",0,5,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Fumaria sp.","Papaveraceae","Fumaria","W",0,15,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Galium sp.","Rubiaceae","Galium","W",0,60,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Geum sp.","Ranunculaceae","Geum","W",0,5,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Poaceae indet.","Poaceae","-","W",0,35,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",22,100,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Hordeum distichum/vulgare grain (naked)","Poaceae","Hordeum","D",0,10,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Hordeum vulgare rachis","Poaceae","Hordeum","D",0,25,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","indeterminata","-","-","W",0,90,"Late Chalcolithic"
"Cayboyu (Asvan)","CB_LC","Fabaceae indet.","Fabaceae","-","W",0,80,"Late Chalcolithic"
