"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Cayonu","CAY_BA","Triticum species indeterminate glume wheat glume bases","Poaceae","Triticum","D",66,100,"Bronze Age"
"Cayonu","CAY_BA","Triticum species indeterminate glume wheat spikelet forks","Poaceae","Triticum","D",33,100,"Bronze Age"
"Gournia","GOU","Pisum sp.","Fabaceae","Pisum","W",0,0,"Bronze Age"
"Hagia Triada","HAT","Cicer arietinum L.","Fabaceae","Cicer","D",0,0,"Bronze Age"
"Hagia Triada","HAT","Ficus carica L.","Moraceae","Ficus","D",0,0,"Bronze Age"
"Hagia Triada","HAT","Pisum sp.","Fabaceae","Pisum","W",0,0,"Bronze Age"
"Hagia Triada","HAT","Vicia faba L.","Fabaceae","Vicia","D",0,0,"Bronze Age"
"Herakleion","HER","Lens sp.","Fabaceae","Lens","D",0,0,"Bronze Age"
"Herakleion","HER","Vicia faba L.","Fabaceae","Vicia","D",0,0,"Bronze Age"
"Liliana","LIL","Olea sp. L.","Oleaceae","Olea","W",0,0,"Bronze Age"
"Mallia","MAL","Lens sp.","Fabaceae","Lens","D",0,0,"Bronze Age"
"Niruchiani","NIR","Pisum sativum L.","Fabaceae","Pisum","D",0,0,"Bronze Age"
"Niruchiani","NIR","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",0,0,"Bronze Age"
"Niruchiani","NIR","Vicia faba L.","Fabaceae","Vicia","D",0,0,"Bronze Age"
"Palaikastro","PAL","Amygdalus communis L.","Rosaceae","Amygdalus","D",0,0,"Bronze Age"
"Palaikastro","PAL","Olea sp. L.","Oleaceae","Olea","W",0,0,"Bronze Age"
"Palaikastro","PAL","Pisum elatius Bieb.","Fabaceae","Pisum","W",0,0,"Bronze Age"
"Palaikastro","PAL","Pisum sativum L.","Fabaceae","Pisum","D",0,0,"Bronze Age"
"Phaistos","PHA","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",0,0,"Bronze Age"
"Phaistos","PHA","Olea sp. L.","Oleaceae","Olea","W",0,0,"Bronze Age"
"Phaistos","PHA","Pisum sativum L.","Fabaceae","Pisum","D",0,0,"Bronze Age"
"Phaistos","PHA","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",0,0,"Bronze Age"
"Rukeis","RK","Adonis sp.","Ranunculaceae","Adonis","W",0,0,"Bronze Age"
"Rukeis","RK","Amygdalus sp.","Rosaceae","Amygdalus","W",0,0,"Bronze Age"
"Rukeis","RK","Androsace sp. L.","Primulaceae","Androsace","W",4,0,"Bronze Age"
"Rukeis","RK","Astragalus sp.","Fabaceae","Astragalus","W",2,0,"Bronze Age"
"Rukeis","RK","Boraginaceae indeterminate","Boraginaceae","-","W",0,0,"Bronze Age"
"Rukeis","RK","Bromus sp.","Poaceae","Bromus","W",0,0,"Bronze Age"
"Rukeis","RK","Carthamus type","Asteraceae","Carthamus","W",6,0,"Bronze Age"
"Rukeis","RK","Cereal indeterminate culm","Poaceae","-","D",2,0,"Bronze Age"
"Rukeis","RK","Cereal indeterminate grains","Poaceae","-","D",1,0,"Bronze Age"
"Rukeis","RK","Cicer sp.","Fabaceae","Cicer","W",0,0,"Bronze Age"
"Rukeis","RK","Cyperaceae indet.","Cyperaceae","-","W",1,0,"Bronze Age"
"Rukeis","RK","Daucus type","Apiaceae","Daucus","W",0,0,"Bronze Age"
"Rukeis","RK","Galium sp.","Rubiaceae","Galium","W",4,0,"Bronze Age"
"Rukeis","RK","Poaceae indet.","Poaceae","-","W",8,0,"Bronze Age"
"Rukeis","RK","Hordeum sp. rachis internodes","Poaceae","Hordeum","W",2,0,"Bronze Age"
"Rukeis","RK","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",47,0,"Bronze Age"
"Rukeis","RK","Hordeum murinum type","Poaceae","Hordeum","W",0,0,"Bronze Age"
"Rukeis","RK","Hordeum spontaneum type","Poaceae","Hordeum","W",1,0,"Bronze Age"
"Rukeis","RK","Fabaceae indet.","Fabaceae","-","W",0,0,"Bronze Age"
"Rukeis","RK","Lens sp.","Fabaceae","Lens","D",1,0,"Bronze Age"
"Rukeis","RK","Lolium sp.","Poaceae","Lolium","W",1,0,"Bronze Age"
"Rukeis","RK","Malva sp.","Malvaceae","Malva","W",1,0,"Bronze Age"
"Rukeis","RK","Medicago type","Fabaceae","Medicago","W",0,0,"Bronze Age"
"Rukeis","RK","Phalaris sp.","Poaceae","Phalaris","W",0,0,"Bronze Age"
"Rukeis","RK","Pistacia sp.","Anacardiaceae","Pistacia","W",0,0,"Bronze Age"
"Rukeis","RK","Pisum/Vicia sp.","Fabaceae","Pisum/Vicia","D",1,0,"Bronze Age"
"Rukeis","RK","Polygonum sp.","Polygonaceae","Polygonum","W",0,0,"Bronze Age"
"Rukeis","RK","Sambucus sp.","Caprifoliaceae","Sambucus","W",0,0,"Bronze Age"
"Rukeis","RK","Silene sp.","Caryophyllaceae","Silene","W",0,0,"Bronze Age"
"Rukeis","RK","Teucrium sp.","Lamiaceae","Teucrium","W",0,0,"Bronze Age"
"Rukeis","RK","Triticum dicoccum spikelet forks","Poaceae","Triticum","D",0,0,"Bronze Age"
"Rukeis","RK","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",6,0,"Bronze Age"
"Rukeis","RK","Triticum monococcum glume bases","Poaceae","Triticum","D",2,0,"Bronze Age"
"Rukeis","RK","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,0,"Bronze Age"
"Rukeis","RK","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",2,0,"Bronze Age"
"Rukeis","RK","Vaccaria sp.","Caryophyllaceae","Vaccaria","W",0,0,"Bronze Age"
"Rukeis","RK","Vicia sp.","Fabaceae","Vicia","D",0,0,"Bronze Age"
"Rukeis","RK","Vitis sp.","Vitaceae","Vitis","W",5,0,"Bronze Age"
"Rukeis","RK","Vitis sp. fruit","Vitaceae","Vitis","W",0,0,"Bronze Age"
"Slavokambos","SLA","Olea sp. L.","Oleaceae","Olea","W",0,0,"Bronze Age"
"Slavokambos","SLA","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",0,0,"Bronze Age"
"Tell Qaramel","TQA","Coronilla scorpioides (L.) Koch","Fabaceae","Coronilla","W",0,0,"Bronze Age"
"Tell Qaramel","TQA","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",100,0,"Bronze Age"
"	Bronze Age",,,,,,,,
