"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Asvan region","ASVR-C","Acer sp. wood","Aceraceae","Acer","W",0,0,"Chalcolithic"
"Asvan region","ASVR-C","Crataegus sp. L. wood","Rosaceae","Crataegus","W",0,0,"Chalcolithic"
"Asvan region","ASVR-C","Fraxinus sp. wood","Oleaceae","Fraxinus","W",0,0,"Chalcolithic"
"Asvan region","ASVR-C","indeterminate wood","-","-","W",0,14,"Chalcolithic"
"Asvan region","ASVR-C","Juniperus sp. wood","Cupressaceae","Juniperus","W",0,3,"Chalcolithic"
"Asvan region","ASVR-C","Pistacia sp. wood","Anacardiaceae","Pistacia","W",0,0,"Chalcolithic"
"Asvan region","ASVR-C","Quercus sp. Wood","Fagaceae","Quercus","W",0,100,"Chalcolithic"
"Asvan region","ASVR-C","Salix/Populus wood","Salicaceae","Salix/Populus","W",0,20,"Chalcolithic"
"Asvan region","ASVR-C","Tamarix sp. wood","Tamaricaceae","Tamarix","W",0,0,"Chalcolithic"
"Asvan region","ASVR-C","Ulmaceae wood","Ulmaceae","-","W",0,50,"Chalcolithic"
"Bendebal","BEN","Amygdalus sp. wood","Rosaceae","Amygdalus","W",0,20,"Chalcolithic"
"Bendebal","BEN","Cereal indeterminate grains","Poaceae","-","D",9,60,"Chalcolithic"
"Bendebal","BEN","cf. Brassicaceae","Brassicaceae","-","W",1,20,"Chalcolithic"
"Bendebal","BEN","Poaceae indet. large","Poaceae","-","W",9,80,"Chalcolithic"
"Bendebal","BEN","Hordeum sp. grains","Poaceae","Hordeum","W",1,40,"Chalcolithic"
"Bendebal","BEN","indeterminate wood","-","-","W",0,40,"Chalcolithic"
"Bendebal","BEN","Lolium sp.","Poaceae","Lolium","W",12,80,"Chalcolithic"
"Bendebal","BEN","Medicago sp.","Fabaceae","Medicago","W",7,40,"Chalcolithic"
"Bendebal","BEN","Phalaris sp.","Poaceae","Phalaris","W",8,20,"Chalcolithic"
"Bendebal","BEN","Populus/Salix wood","Salicaceae","Populus/Salix","W",0,60,"Chalcolithic"
"Bendebal","BEN","Prosopis sp.","Fabaceae","Prosopis","W",4,40,"Chalcolithic"
"Bendebal","BEN","Trifolium sp.","Fabaceae","Trifolium","W",3,20,"Chalcolithic"
"Bendebal","BEN","Triticum species indeterminate glume wheat spikelet forks","Poaceae","Triticum","D",46,80,"Chalcolithic"
"Bendebal","BEN","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,20,"Chalcolithic"
"Bnei Beraq","BB","Olea europaea L.","Oleaceae","Olea","D",0,0,"Chalcolithic"
"Choga Mami","CM-PS","Avena sp.","Poaceae","Avena","W",1,0,"Chalcolithic"
"Choga Mami","CM-PS","Poaceae indet.","Poaceae","-","W",67,0,"Chalcolithic"
"Choga Mami","CM-PS","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",3,0,"Chalcolithic"
"Choga Mami","CM-PS","Hordeum distichum/vulgare grain (naked)","Poaceae","Hordeum","D",1,0,"Chalcolithic"
"Choga Mami","CM-PS","Fabaceae indeterminate small","Fabaceae","-","W",7,0,"Chalcolithic"
"Choga Mami","CM-PS","Lens culinaris Medik.","Fabaceae","Lens","D",5,0,"Chalcolithic"
"Choga Mami","CM-PS","Linum usitatissimum L.","Linaceae","Linum","D",2,0,"Chalcolithic"
"Choga Mami","CM-PS","Lolium persicum Boiss. & Hohen.","Poaceae","Lolium","W",0,0,"Chalcolithic"
"Choga Mami","CM-PS","Lolium rigidum Gaudin","Poaceae","Lolium","W",0,0,"Chalcolithic"
"Choga Mami","CM-PS","Lolium temulentum L.","Poaceae","Lolium","W",0,0,"Chalcolithic"
"Choga Mami","CM-PS","Medicago hispida type","Fabaceae","Medicago","W",1,0,"Chalcolithic"
"Choga Mami","CM-PS","Pistacia atlantica Desf.","Anacardiaceae","Pistacia","D",2,0,"Chalcolithic"
"Choga Mami","CM-PS","Prosopis farcta (Banks & Sol.) Macbride in Contrib. Gray Herb","Fabaceae","Prosopis","W",2,0,"Chalcolithic"
"Choga Mami","CM-PS","Scirpus tuberosus","Cyperaceae","Scirpus","W",1,0,"Chalcolithic"
"Choga Mami","CM-PS","Triticum monococcum/dicoccum spikelet forks","Poaceae","Triticum","D",2,0,"Chalcolithic"
"Choga Mami","CM-PS","Triticum boeoticum grains (1/2g)","Poaceae","Triticum","W",1,0,"Chalcolithic"
"Choga Mami","CM-PS","Triticum dicoccum grains","Poaceae","Triticum","D",3,0,"Chalcolithic"
"Choga Mami","CM-PS","Triticum species free threshing wheat hexaploid grains","Poaceae","Triticum","D",1,0,"Chalcolithic"
"Choga Mami","CM-PS","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",1,0,"Chalcolithic"
"Choga Mami","CM-PS","Vicia/Lathyrus","Fabaceae","Vicia/Lathyrus","W",2,0,"Chalcolithic"
"Choga Mami","CM-S","Aegilops crassa","Poaceae","Aegilops","W",0,14,"Chalcolithic"
"Choga Mami","CM-S","Aegilops sp. grains","Poaceae","Aegilops","W",0,29,"Chalcolithic"
"Choga Mami","CM-S","Avena ludoviciana","Poaceae","Avena","W",0,29,"Chalcolithic"
"Choga Mami","CM-S","Avena sp.","Poaceae","Avena","W",0,14,"Chalcolithic"
"Choga Mami","CM-S","Bromus sp.","Poaceae","Bromus","W",1,71,"Chalcolithic"
"Choga Mami","CM-S","Capparis spinosa L.","Capparaceae","Capparis","W",0,29,"Chalcolithic"
