"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Ikiztepe","IT_C","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",7,0,"Chalcolithic to Early Bronze Age"
"Ikiztepe","IT_C","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",93,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","cf. Kochia wood","Chenopodiaceae","Kochia","W",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Cicer arietinum L.","Fabaceae","Cicer","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Crataegus monogyna Jacq.","Rosaceae","Crataegus","W",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Galium sp.","Rubiaceae","Galium","W",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Lens culinaris Medik.","Fabaceae","Lens","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Pisum sativum L.","Fabaceae","Pisum","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Quercus sp. Wood","Fagaceae","Quercus","W",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Rhamnus sp. Wood","Rhamnaceae","Rhamnus","W",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Triticum dicoccum grains","Poaceae","Triticum","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Triticum species free threshing wheat hexaploid grains","Poaceae","Triticum","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",0,0,"Chalcolithic to Early Bronze Age"
"Jawa","JAW","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,0,"Chalcolithic to Early Bronze Age"
"Nagada-Khattara","NK-KH 3","Citrullus colocynthis (L.) Schrader in Linnaea","Cucurbitaceae","Citrullus","W",0,0,"Chalcolithic to Early Bronze Age"
"Nagada-Khattara","NK-KH 3","Ziziphus spina-christi var. aucheri (Boiss.) M.Qaiser & S.Nazimuddin","Rhamnaceae","Ziziphus","D",0,0,"Chalcolithic to Early Bronze Age"
"Nagada-Khattara","NK-ST","Citrullus colocynthis (L.) Schrader in Linnaea","Cucurbitaceae","Citrullus","W",0,0,"Chalcolithic to Early Bronze Age"
"Nagada-Khattara","NK-ST","Phalaris paradoxa L.","Poaceae","Phalaris","W",0,0,"Chalcolithic to Early Bronze Age"
"Nagada-Khattara","NK-ST","Ziziphus spina-christi var. aucheri (Boiss.) M.Qaiser & S.Nazimuddin","Rhamnaceae","Ziziphus","D",0,0,"Chalcolithic to Early Bronze Age"
"Shoham (North)","SHO_LEBI","Olea europaea L.","Oleaceae","Olea","D",0,100,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Galium aparine L.","Rubiaceae","Galium","W",6,50,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Hordeum distichum/vulgare grain (naked)","Poaceae","Hordeum","D",14,50,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",6,25,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Hordeum distichum grain (hulled)","Poaceae","Hordeum","D",25,75,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Lens culinaris Medik.","Fabaceae","Lens","D",6,25,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Triticum dicoccum grains","Poaceae","Triticum","D",28,100,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Triticum species free threshing wheat hexaploid grains","Poaceae","Triticum","D",3,25,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",11,50,"Chalcolithic to Early Bronze Age"
"Tappeh Gijlar","TAG-C","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",3,25,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Cereal indeterminate grains","Poaceae","-","D",5,30,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Cicer/Lathyrus","Fabaceae","Cicer/Lathyrus","W",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Festuca/Lolium sp.","Poaceae","Festuca/Lolium","W",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Ficus carica L.","Moraceae","Ficus","D",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Poaceae indet. large","Poaceae","-","W",9,50,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Hordeum sp. grains","Poaceae","Hordeum","W",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","indeterminata","-","-","W",1,20,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Fabaceae indeterminate large","Fabaceae","-","W",1,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Fabaceae indeterminate small","Fabaceae","-","W",2,30,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Lolium sp.","Poaceae","Lolium","W",4,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Olea europaea L.","Oleaceae","Olea","D",11,90,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Ornithogalum/Muscari","Liliaceae","-","W",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Pistacia sp.","Anacardiaceae","Pistacia","W",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Pisum/Lathyrus sp.","Fabaceae","Pisum/Lathyrus","D",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Rumex sp.","Polygonaceae","Rumex","W",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Sherardia arvensis L.","Rubiaceae","Sherardia","W",0,10,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Triticum monococcum/dicoccum spikelet forks","Poaceae","Triticum","D",3,20,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Triticum dicoccum spikelet forks","Poaceae","Triticum","D",48,70,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Vitis vinifera L. pips","Vitaceae","Vitis","D",3,40,"Chalcolithic to Early Bronze Age"
"Tell Fadous-Kfarabida","TFA_C_EBA_I","Vitis vinfera L. stalks","Vitaceae","Vitis","D",0,10,"Chalcolithic to Early Bronze Age"
"Tell Karrana","TKA","Aegilops crassa","Poaceae","Aegilops","W",0,7,"Chalcolithic to Early Bronze Age"
"Tell Karrana","TKA","Aegilops crassa internodes","Poaceae","Aegilops","W",0,21,"Chalcolithic to Early Bronze Age"
"Tell Karrana","TKA","Arnebia linearifolia DC.","Boraginaceae","Arnebia","W",0,14,"Chalcolithic to Early Bronze Age"
"Tell Karrana","TKA","Bellevalia sp.","Liliaceae","Bellevalia","W",0,7,"Chalcolithic to Early Bronze Age"
"Tell Karrana","TKA","Bromus sp.","Poaceae","Bromus","W",0,7,"Chalcolithic to Early Bronze Age"
