"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"'Afula","AF_EB","indeterminata","-","-","W",80,0,"Early Bronze Age"
"'Afula","AF_EB","Triticum species free threshing wheat tetraploid grains","Poaceae","Triticum","D",20,0,"Early Bronze Age"
"Abu Salabikh","AS-P2","Aegilops/Triticum","Poaceae","Aegilops/Triticum","W",0,25,"Early Bronze Age"
"Abu Salabikh","AS-P2","Cereal indeterminate grains","Poaceae","-","D",11,75,"Early Bronze Age"
"Abu Salabikh","AS-P2","Cyperus sp.","Cyperaceae","Cyperus","W",1,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Ficus sp.","Moraceae","Ficus","W",4,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Galium sp.","Rubiaceae","Galium","W",1,25,"Early Bronze Age"
"Abu Salabikh","AS-P2","Poaceae indet. culm fragments","Poaceae","-","W",1,25,"Early Bronze Age"
"Abu Salabikh","AS-P2","Poaceae indet. small","Poaceae","-","W",26,75,"Early Bronze Age"
"Abu Salabikh","AS-P2","Hordeum distichum/vulgare rachis","Poaceae","Hordeum","D",5,75,"Early Bronze Age"
"Abu Salabikh","AS-P2","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",15,100,"Early Bronze Age"
"Abu Salabikh","AS-P2","Hordeum spontaneum Koch","Poaceae","Hordeum","W",1,25,"Early Bronze Age"
"Abu Salabikh","AS-P2","Fabaceae indeterminate large","Fabaceae","-","W",2,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Fabaceae indeterminate small","Fabaceae","-","W",6,75,"Early Bronze Age"
"Abu Salabikh","AS-P2","Malva sp.","Malvaceae","Malva","W",3,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Prosopis sp.","Fabaceae","Prosopis","W",1,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Salsola sp.","Chenopodiaceae","Salsola","W",3,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Scirpus sp.","Cyperaceae","Scirpus","W",0,25,"Early Bronze Age"
"Abu Salabikh","AS-P2","Sesamum sp. L.","Pedaliaceae","Sesamum","D",7,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Suaeda sp.","Chenopodiaceae","Suaeda","W",3,50,"Early Bronze Age"
"Abu Salabikh","AS-P2","Triticum monococcum/dicoccum glume bases","Poaceae","Triticum","D",2,75,"Early Bronze Age"
"Abu Salabikh","AS-P2","Triticum monococcum/dicoccum grains","Poaceae","Triticum","D",6,50,"Early Bronze Age"
"Abu Salabikh","AS-P3","Amaranthus sp.","Amaranthaceae","Amaranthus","W",1,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Arenaria sp.","Caryophyllaceae","Arenaria","W",1,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Cereal indeterminate culm","Poaceae","-","D",2,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Cereal indeterminate grains","Poaceae","-","D",3,100,"Early Bronze Age"
"Abu Salabikh","AS-P3","Cyperus sp.","Cyperaceae","Cyperus","W",1,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Ficus sp.","Moraceae","Ficus","W",1,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Galium sp.","Rubiaceae","Galium","W",0,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Poaceae indet. culm fragments","Poaceae","-","W",0,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Poaceae indet. small","Poaceae","-","W",19,100,"Early Bronze Age"
"Abu Salabikh","AS-P3","Hordeum distichum/vulgare rachis","Poaceae","Hordeum","D",10,100,"Early Bronze Age"
"Abu Salabikh","AS-P3","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",27,100,"Early Bronze Age"
"Abu Salabikh","AS-P3","Hordeum spontaneum Koch","Poaceae","Hordeum","W",0,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Fabaceae indeterminate small","Fabaceae","-","W",8,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Linum sp.","Linaceae","Linum","W",1,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Malva sp.","Malvaceae","Malva","W",0,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Polygonum corregioloides","Polygonaceae","Polygonum","W",2,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Polygonum type","Polygonaceae","Polygonum","W",0,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Prosopis sp.","Fabaceae","Prosopis","W",1,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Rumex sp.","Polygonaceae","Rumex","W",1,33,"Early Bronze Age"
"Abu Salabikh","AS-P3","Salsola sp.","Chenopodiaceae","Salsola","W",2,100,"Early Bronze Age"
"Abu Salabikh","AS-P3","Scirpus sp.","Cyperaceae","Scirpus","W",2,100,"Early Bronze Age"
"Abu Salabikh","AS-P3","Sesamum sp. L.","Pedaliaceae","Sesamum","D",2,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Sisymbrium type","Brassicaceae","Sisymbrium","W",2,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Suaeda sp.","Chenopodiaceae","Suaeda","W",7,67,"Early Bronze Age"
"Abu Salabikh","AS-P3","Triticum monococcum/dicoccum glume bases","Poaceae","Triticum","D",6,100,"Early Bronze Age"
"Abu Salabikh","AS-P3","Triticum boeoticum grains (1/2g)","Poaceae","Triticum","W",0,33,"Early Bronze Age"
"Arad","A_I","Hordeum sp. grains","Poaceae","Hordeum","W",71,0,"Early Bronze Age"
"Arad","A_I","Triticum dicoccum grains","Poaceae","Triticum","D",28,0,"Early Bronze Age"
"Arad","A_I","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,0,"Early Bronze Age"
"Arad","A_II","Bromus sp.","Poaceae","Bromus","W",0,2,"Early Bronze Age"
"Arad","A_II","Ceratonia sp. wood","Fabaceae","Ceratonia","W",0,2,"Early Bronze Age"
"Arad","A_II","Chenopodium sp.","Chenopodiaceae","Chenopodium","W",1,2,"Early Bronze Age"
"Arad","A_II","Cicer arietinum L.","Fabaceae","Cicer","D",3,9,"Early Bronze Age"
"Arad","A_II","Brassicaceae indet.","Brassicaceae","-","W",1,4,"Early Bronze Age"
"Arad","A_II","Poaceae indet.","Poaceae","-","W",1,4,"Early Bronze Age"
"Arad","A_II","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",11,33,"Early Bronze Age"
"Arad","A_II","Hordeum distichum grain (hulled)","Poaceae","Hordeum","D",15,89,"Early Bronze Age"
"Arad","A_II","Hordeum sp. grains","Poaceae","Hordeum","W",2,4,"Early Bronze Age"
"Arad","A_II","indeterminata","-","-","W",2,7,"Early Bronze Age"
"Arad","A_II","Laurus sp. wood","Lauraceae","Laurus","W",0,2,"Early Bronze Age"
"Arad","A_II","Fabaceae indet.","Fabaceae","-","W",11,24,"Early Bronze Age"
"Arad","A_II","Lens culinaris Medik.","Fabaceae","Lens","D",13,35,"Early Bronze Age"
"Arad","A_II","Linum usitatissimum L.","Linaceae","Linum","D",4,7,"Early Bronze Age"
"Arad","A_II","Lolium sp.","Poaceae","Lolium","W",1,2,"Early Bronze Age"
"Arad","A_II","Malvaceae indet.","Malvaceae","-","W",1,2,"Early Bronze Age"
"Arad","A_II","Malva sp.","Malvaceae","Malva","W",1,2,"Early Bronze Age"
"Arad","A_II","Olea europaea L.","Oleaceae","Olea","D",10,15,"Early Bronze Age"
"Arad","A_II","Olea europaea L. wood","Oleaceae","Olea","D",0,4,"Early Bronze Age"
"Arad","A_II","Papaver sp.","Papaveraceae","Papaver","W",1,2,"Early Bronze Age"
"Arad","A_II","Pistacia sp.","Anacardiaceae","Pistacia","W",1,2,"Early Bronze Age"
"Arad","A_II","Pistacia sp. wood","Anacardiaceae","Pistacia","W",0,2,"Early Bronze Age"
"Arad","A_II","Pisum sativum L.","Fabaceae","Pisum","D",3,13,"Early Bronze Age"
"Arad","A_II","Populus sp. wood","Salicaceae","Populus","W",0,2,"Early Bronze Age"
"Arad","A_II","Sinapis sp.","Brassicaceae","Sinapis","W",1,2,"Early Bronze Age"
"Arad","A_II","Tamarix sp. wood","Tamaricaceae","Tamarix","W",0,2,"Early Bronze Age"
