"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Girikihaciyan","GH","cf. Ranunculus sp.","Ranunculaceae","Ranunculus","W",0,5,"Early Chalcolithic"
"Girikihaciyan","GH","Cicer arietinum L.","Fabaceae","Cicer","D",2,50,"Early Chalcolithic"
"Girikihaciyan","GH","Galium sp.","Rubiaceae","Galium","W",0,20,"Early Chalcolithic"
"Girikihaciyan","GH","Poaceae indet.","Poaceae","-","W",0,16,"Early Chalcolithic"
"Girikihaciyan","GH","Hordeum distichum grain (hulled)","Poaceae","Hordeum","D",1,39,"Early Chalcolithic"
"Girikihaciyan","GH","Fabaceae indet.","Fabaceae","-","W",0,9,"Early Chalcolithic"
"Girikihaciyan","GH","Lens culinaris Medik.","Fabaceae","Lens","D",19,86,"Early Chalcolithic"
"Girikihaciyan","GH","Linum usitatissimum L.","Linaceae","Linum","D",1,14,"Early Chalcolithic"
"Girikihaciyan","GH","Lithospermum L. sp.","Boraginaceae","Lithospermum","W",0,5,"Early Chalcolithic"
"Girikihaciyan","GH","Lolium sp.","Poaceae","Lolium","W",1,30,"Early Chalcolithic"
"Girikihaciyan","GH","Pistacia sp.","Anacardiaceae","Pistacia","W",0,36,"Early Chalcolithic"
"Girikihaciyan","GH","Triticum species indeterminate glume wheat glume bases","Poaceae","Triticum","D",16,57,"Early Chalcolithic"
"Girikihaciyan","GH","Triticum species indeterminate glume wheat spikelet forks","Poaceae","Triticum","D",10,52,"Early Chalcolithic"
"Girikihaciyan","GH","Triticum boeoticum grains (1/2g)","Poaceae","Triticum","W",0,5,"Early Chalcolithic"
"Girikihaciyan","GH","Triticum dicoccum grains","Poaceae","Triticum","D",41,75,"Early Chalcolithic"
"Girikihaciyan","GH","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",0,5,"Early Chalcolithic"
"Girikihaciyan","GH","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,18,"Early Chalcolithic"
"Girikihaciyan","GH","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",0,18,"Early Chalcolithic"
"Girikihaciyan","GH","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",6,61,"Early Chalcolithic"
"Girikihaciyan","GH","Vicia sp.","Fabaceae","Vicia","D",1,25,"Early Chalcolithic"
"Kissonerga","KISS_EC","category: wet loving species","-","-","W",0,12,"Early Chalcolithic"
"Kissonerga","KISS_EC","Celtis sp.","Ulmaceae","Celtis","W",0,12,"Early Chalcolithic"
"Kissonerga","KISS_EC","Cereal indeterminate grains","Poaceae","-","D",0,69,"Early Chalcolithic"
"Kissonerga","KISS_EC","cf. Triticum monococcum","Poaceae","Triticum","W",0,6,"Early Chalcolithic"
"Kissonerga","KISS_EC","Ficus carica L.","Moraceae","Ficus","D",0,62,"Early Chalcolithic"
"Kissonerga","KISS_EC","Poaceae indet. wild","Poaceae","-","W",0,100,"Early Chalcolithic"
"Kissonerga","KISS_EC","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",0,69,"Early Chalcolithic"
"Kissonerga","KISS_EC","indeterminata","-","-","W",0,81,"Early Chalcolithic"
"Kissonerga","KISS_EC","Juniperus sp.","Cupressaceae","Juniper","W",0,6,"Early Chalcolithic"
"Kissonerga","KISS_EC","Fabaceae indet.","Fabaceae","-","W",0,81,"Early Chalcolithic"
"Kissonerga","KISS_EC","Lens sp.","Fabaceae","Lens","D",0,81,"Early Chalcolithic"
"Kissonerga","KISS_EC","Linum usitatissimum L.","Linaceae","Linum","D",0,6,"Early Chalcolithic"
"Kissonerga","KISS_EC","Olea europaea L.","Oleaceae","Olea","D",0,87,"Early Chalcolithic"
"Kissonerga","KISS_EC","Pistacia atlantica/terebinthus","Anacardiaceae","Pistacia","W",0,62,"Early Chalcolithic"
"Kissonerga","KISS_EC","Pisum sativum L.","Fabaceae","Pisum","D",0,6,"Early Chalcolithic"
"Kissonerga","KISS_EC","Triticum monococcum/dicoccum grains","Poaceae","Triticum","D",0,44,"Early Chalcolithic"
"Kissonerga","KISS_EC","Triticum dicoccum grains","Poaceae","Triticum","D",0,25,"Early Chalcolithic"
"Kissonerga","KISS_EC","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",0,37,"Early Chalcolithic"
"Kissonerga","KISS_EC","Vicia sp.","Fabaceae","Vicia","D",0,6,"Early Chalcolithic"
"Kissonerga","KISS_EC","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,31,"Early Chalcolithic"
"Kurban Höyük","KUH_H","Aegilops sp. grains","Poaceae","Aegilops","W",0,10,"Early Chalcolithic"
