"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Ikiztepe","IT_EB/MB","Agrostemma githago L.","Caryophyllaceae","Agrostemma","W",0,33,"Early-Middle Bronze Age"
"Ikiztepe","IT_EB/MB","Bromus sterilis L.","Poaceae","Bromus","W",0,33,"Early-Middle Bronze Age"
"Ikiztepe","IT_EB/MB","Lathyrus sativus L.","Fabaceae","Lathyrus","D",23,33,"Early-Middle Bronze Age"
"Ikiztepe","IT_EB/MB","Lolium sp.","Poaceae","Lolium","W",0,33,"Early-Middle Bronze Age"
"Ikiztepe","IT_EB/MB","Lolium temulentum L.","Poaceae","Lolium","W",3,33,"Early-Middle Bronze Age"
"Ikiztepe","IT_EB/MB","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",60,33,"Early-Middle Bronze Age"
"Ikiztepe","IT_EB/MB","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",14,33,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Bromus sp.","Poaceae","Bromus","W",0,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Cicer arietinum L.","Fabaceae","Cicer","D",3,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Echium L. sp.","Boraginaceae","Echium","W",10,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Fumaria sp.","Papaveraceae","Fumaria","W",2,25,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",2,25,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",65,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Hordeum distichum grain (hulled)","Poaceae","Hordeum","D",0,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Lathyrus sp.","Fabaceae","Lathyrus","W",0,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Lens culinaris Medik.","Fabaceae","Lens","D",15,50,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Pisum sativum L.","Fabaceae","Pisum","D",0,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Triticum monococcum/dicoccum grains","Poaceae","Triticum","D",1,12,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Triticum dicoccum grains","Poaceae","Triticum","D",2,38,"Early-Middle Bronze Age"
"Jericho","J-EBA_MBA","Triticum species free threshing wheat hexaploid grains","Poaceae","Triticum","D",0,12,"Early-Middle Bronze Age"
"Kenan Tepe","KT_EB_MB","Cereal indeterminate grains","Poaceae","-","D",0,17,"Early-Middle Bronze Age"
"Kenan Tepe","KT_EB_MB","Heliotropium L. sp.","Boraginaceae","Heliotropium","W",0,17,"Early-Middle Bronze Age"
"Kenan Tepe","KT_EB_MB","indeterminata","-","-","W",0,17,"Early-Middle Bronze Age"
"Kenan Tepe","KT_EB_MB","Onobrychis sp.","Fabaceae","Onobrychis","W",0,33,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Aegilops sp. grains","Poaceae","Aegilops","W",0,25,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Astragalus sp.","Fabaceae","Astragalus","W",0,37,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Carex sp.","Cyperaceae","Carex","W",0,25,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Cereal indeterminate grains","Poaceae","-","D",0,75,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","cf. Trifolium/Trigonella","Fabaceae","Trifolium/Trigonella","W",0,50,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Coronilla sp.","Fabaceae","Coronilla","W",0,37,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Galium sp.","Rubiaceae","Galium","W",0,37,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Poaceae indet. large","Poaceae","-","W",0,37,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Hordeum sp. grains","Poaceae","Hordeum","W",0,75,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","indeterminata","-","-","W",0,100,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Lathyrus sp.","Fabaceae","Lathyrus","W",0,37,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Fabaceae indeterminate large","Fabaceae","-","W",0,37,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Lens sp.","Fabaceae","Lens","D",0,50,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Lolium sp.","Poaceae","Lolium","W",0,25,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Medicago sp.","Fabaceae","Medicago","W",0,25,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Triticum species indeterminate glume wheat spikelet forks","Poaceae","Triticum","D",0,87,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",0,50,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Vicia sp.","Fabaceae","Vicia","D",0,12,"Early-Middle Bronze Age"
"Kurban Höyük","KUH_E_MBA","Vitis sp.","Vitaceae","Vitis","W",0,37,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops crassa glume bases","Poaceae","Aegilops","W",3,64,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops sp. grains","Poaceae","Aegilops","W",3,79,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops speltoides glume bases (spikelet bases)","Poaceae","Aegilops","W",1,21,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops sp. glume bases (spikelet bases)","Poaceae","Aegilops","W",1,64,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops tauschii glume bases","Poaceae","Aegilops","W",0,21,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops/Triticum glume bases","Poaceae","Aegilops/Triticum","W",0,7,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops/Triticum rachis internodes","Poaceae","Aegilops/Triticum","W",0,7,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Aegilops/Triticum","Poaceae","Aegilops/Triticum","W",0,14,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Androsace maxima L.","Primulaceae","Androsace","W",0,14,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Artemisia sp. L.","Asteraceae","Artemisia","W",0,36,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Asperula arvensis L.","Rubiaceae","Asperula","W",1,50,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Astragalus sp.","Fabaceae","Astragalus","W",1,14,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Avena sp.","Poaceae","Avena","W",0,36,"Early-Middle Bronze Age"
"Tell Brak","TBR-N","Bromus scoparius L.","Poaceae","Bromus","W",1,50,"Early-Middle Bronze Age"
