"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Kastanas","K-5","Agrostemma githago L.","Caryophyllaceae","Agrostemma","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Alisma plantago-aquatica L.","Alismataceae","Alsima","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Alisma plantago-aquatica L. uncarbonized","Alismataceae","Alisma","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Anethum type","Apiaceae","Anethum","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Apium type","Apiaceae","Apium","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Avena sp.","Poaceae","Avena","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Boraginaceae indeterminate, uncarbonized","Boraginaceae","-","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Boraginaceae indeterminate","Boraginaceae","-","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Bromus sp.","Poaceae","Bromus","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Camelina sativa (L.) Crantz","Brassicaceae","Camelina","D",3,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Caryophyllaceae indet.","Caryophyllaceae","-","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Cereal indeterminate grains","Poaceae","-","D",3,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Chenopodiaceae indet.","Chenopodiaceae","-","W",1,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Asteraceae indet.","Asteraceae","-","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Convolvulus arvensis L.","Convolvulaceae","Convolvulus","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Cornus mas L.","Cornaceae","Cornus","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Brassicaceae indet.","Brassicaceae","-","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Cucumis melo L.","Cucurbitaceae","Cucumis","D",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Cynodon dactylon (L.) Pers.","Poaceae","Cynodon","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Cyperaceae indet.","Cyperaceae","-","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Datura stramonium L. uncarbonized","Solanaceae","Datura","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Daucus type","Apiaceae","Daucus","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Digitaria sanguinalis (L.) Scop.","Poaceae","Digitaria","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Echinochloa crus-galli (L.) P. Beauv.","Poaceae","Echinochloa","W",2,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Ficus carica L., uncarbonized","Moraceae","Ficus","D",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Ficus carica L.","Moraceae","Ficus","D",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Fragaria vesca L.","Rosaceae","Fragaria","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Fumaria sp.","Papaveraceae","Fumaria","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Galium spurium L.","Rubiaceae","Galium","W",1,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Poaceae indet. wild","Poaceae","-","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Hordeum distichum/vulgare rachis","Poaceae","Hordeum","D",1,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Hordeum distichum/vulgare grain (naked)","Poaceae","Hordeum","D",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",4,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Hyoscyamus sp.","Solanaceae","Hyoscyamus","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Lamiaceae indet.","Lamiaceae","-","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Lathyrus sativus L.","Fabaceae","Lathyrus","D",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Fabaceae sat. indet.","Fabaceae","-","D",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Lens culinaris Medik.","Fabaceae","Lens","D",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Lithospermum arvense L., uncarbonized","Boraginaceae","Lithospermum","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Linum usitatissimum L.","Linaceae","Linum","D",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Lithospermum officinale L., uncarbonized","Boraginaceae","Lithospermum","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Lithospermum officinale L.","Boraginaceae","Lithospermum","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Lithospermum arvense L.","Boraginaceae","Lithospermum","W",0,67,"Late Bronze-Iron Age"
"Kastanas","K-5","Linum usitatissimum L. uncarbonized","Linaceae","Linum","D",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Lolium remotum Schrank","Poaceae","Lolium","W",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Lolium temulentum L.","Poaceae","Lolium","W",1,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Malva sp.","Malvaceae","Malva","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Medicago sp.","Fabaceae","Medicago","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Panicum miliaceum uncarbonized","Poaceae","Panicum","D",0,33,"Late Bronze-Iron Age"
"Kastanas","K-5","Panicum miliaceum","Poaceae","Panicum","D",66,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Papaver somniferum L.","Papaveraceae","Papaver","D",1,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Papaver somniferum L. uncarbonized","Papaveraceae","Papaver","D",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Pisum sativum L.","Fabaceae","Pisum","D",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Plantago lanceolata type","Plantaginaceae","Plantago","W",0,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Polygonum convolvulus L.","Polygonaceae","Polygonum","W",1,100,"Late Bronze-Iron Age"
"Kastanas","K-5","Polygonaceae indet.","Polygonaceae","-","W",1,100,"Late Bronze-Iron Age"
