"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Akrotiri","AK","Chrysanthemum segetum","Asteraceae","Chrysanthemum","W",0,0,"Late Bronze Age"
"Akrotiri","AK","Coriandrum sativum","Apiaceae","Coriandrum","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Ficus carica L.","Moraceae","Ficus","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Hordeum distichum grain (hulled)","Poaceae","Hordeum","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Juncus sp.","Juncaceae","Juncus","W",0,0,"Late Bronze Age"
"Akrotiri","AK","Lathyrus cicera/sativus","Fabaceae","Lathyrus","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Lathyrus clymenum L.","Fabaceae","Lathyrus","W",0,0,"Late Bronze Age"
"Akrotiri","AK","Lens culinaris Medik.","Fabaceae","Lens","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Olea europaea L.","Oleaceae","Olea","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Pisum sativum L.","Fabaceae","Pisum","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Sagittaria sagittifolia L.","Alismataceae","Sagittaria","W",0,0,"Late Bronze Age"
"Akrotiri","AK","Schoenus nigricans L.","Cyperaceae","Schoenus","W",0,0,"Late Bronze Age"
"Akrotiri","AK","Sherardia arvensis L.","Rubiaceae","Sherardia","W",0,0,"Late Bronze Age"
"Akrotiri","AK","Sinapis arvensis L.","Brassicaceae","Sinapis","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Thesium sp.","Santalaceae","Thesium","W",0,0,"Late Bronze Age"
"Akrotiri","AK","Triticum dicoccum grains","Poaceae","Triticum","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,0,"Late Bronze Age"
"Akrotiri","AK","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,0,"Late Bronze Age"
"Apliki","AP","Amygdalus communis L.","Rosaceae","Amygdalus","D",0,14,"Late Bronze Age"
"Apliki","AP","Anagallis arvensis L.","Primulaceae","Anagallis","W",0,14,"Late Bronze Age"
"Apliki","AP","Coriandrum sativum","Apiaceae","Coriandrum","D",0,14,"Late Bronze Age"
"Apliki","AP","Galium spurium L.","Rubiaceae","Galium","W",0,14,"Late Bronze Age"
"Apliki","AP","Galium tricornutum Dandy","Rubiaceae","Galium","W",0,14,"Late Bronze Age"
"Apliki","AP","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",92,43,"Late Bronze Age"
"Apliki","AP","Lens culinaris Medik.","Fabaceae","Lens","D",3,43,"Late Bronze Age"
"Apliki","AP","Lolium rigidum Gaudin","Poaceae","Lolium","W",0,14,"Late Bronze Age"
"Apliki","AP","Neslia apiculata Fisch.","Brassicaceae","Neslia","W",0,14,"Late Bronze Age"
"Apliki","AP","Olea europaea L.","Oleaceae","Olea","D",0,14,"Late Bronze Age"
"Apliki","AP","Raphanus raphanistrum L.","Brassicaceae","Raphanus","W",0,14,"Late Bronze Age"
"Apliki","AP","Trigonella sp.","Fabaceae","Trigonella","W",0,14,"Late Bronze Age"
"Apliki","AP","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",0,43,"Late Bronze Age"
"Apliki","AP","Vicia cracca L.","Fabaceae","Vicia","W",0,14,"Late Bronze Age"
"Apliki","AP","Vicia faba L.","Fabaceae","Vicia","D",5,14,"Late Bronze Age"
"Apliki","AP","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,14,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Aegilops/Triticum","Poaceae","Aegilops/Triticum","W",0.010774701,20,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Asperula/Galium sp.","Rubiaceae","Asperula/Galium","W",0.005387351,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Poaceae indet.","Poaceae","-","W",0.016162052,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Hordeum sp. grains","Poaceae","Hordeum","W",0.005387351,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Lathyrus sp.","Fabaceae","Lathyrus","W",0.010774701,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Papilionaceae indet.","Fabaceae","-","W",0.016162052,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Scorpiurus muricatus L.","Fabaceae","Scorpiurus","W",0.005387351,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Silybum marianum type","Asteraceae","Silybum","W",0.021549402,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",0.005387351,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Vicia faba L.","Fabaceae","Vicia","D",0.016162052,10,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Vitis vinifera L. fruits","Vitaceae","Vitis","D",1.40071113,60,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Vitis vinifera L. pips","Vitaceae","Vitis","D",95.42075207,80,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Vitis vinifera L. peduncles","Vitaceae","Vitis","D",2.833746364,30,"Late Bronze Age"
"Ashdod","ASHD_LBA_IIB","Vitis vinifera L. undeveloped pip","Vitaceae","Vitis","D",0.231656072,20,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Agrostemma githago L.","Caryophyllaceae","Agrostemma","W",0,28,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Bromus sterilis L.","Poaceae","Bromus","W",0,36,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","cf. Festuca elatior L. subsp. arundinacea (Schreber) Hackel","Poaceae","Festuca","W",0,22,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","cf. Telephium imperati","Caryophyllaceae","Telephium","W",0,25,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Chenopodium cf. album","Chenopodiaceae","Chenopodium","W",0,58,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Chenopodium cf. urbicum","Chenopodiaceae","Chenopodium","W",0,11,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Convolvulus arvensis L.","Convolvulaceae","Convolvulus","W",0,14,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Cynodon dactylon (L.) Pers.","Poaceae","Cynodon","W",2,47,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Digitaria sanguinalis (L.) Scop.","Poaceae","Digitaria","W",0,64,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Eragrostis cf. minor","Poaceae","Eragrostis","W",1,42,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Fumaria sp.","Papaveraceae","Fumaria","W",0,3,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Galium spurium L.","Rubiaceae","Galium","W",0,33,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Hordeum distichum/vulgare rachis","Poaceae","Hordeum","D",0,8,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",8,69,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Lithospermum arvense L.","Boraginaceae","Lithospermum","W",0,14,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Lolium sp.","Poaceae","Lolium","W",0,14,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Lolium temulentum L.","Poaceae","Lolium","W",1,81,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Malvaceae indet.","Malvaceae","-","W",0,6,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Medicago sp.","Fabaceae","Medicago","W",5,33,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Panicum miliaceum","Poaceae","Panicum","D",16,97,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Papaver somniferum ssp. setigerum","Papaveraceae","Papaver","D",0,17,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Plantago sp.","Plantaginaceae","Plantago","W",0,17,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Poa sp.","Poaceae","Poa","W",0,11,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Polygonum aviculare L.","Polygonaceae","Polygonum","W",0,39,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Polygonum convolvulus L.","Polygonaceae","Polygonum","W",0,47,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Portulaca oleracea L.","Portulacaceae","Portulaca","K",1,42,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Rubus fruticosus agg.","Rosaceae","Rubus","W",0,14,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Rumex acetosella L.","Polygonaceae","Rumex","W",0,39,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Rumex sp.","Polygonaceae","Rumex","W",0,19,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Setaria viridis (L.) P. Beauv.","Poaceae","Setaria","W",0,78,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Teucrium cf. chamaedrys","Lamiaceae","Teucrium","W",0,8,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum dicoccum/spelta glume bases","Poaceae","Triticum","D",0,31,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum spelta glume bases","Poaceae","Triticum","D",0,33,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum dicoccum grains","Poaceae","Triticum","D",5,89,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum dicoccum glume bases","Poaceae","Triticum","D",1,53,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",2,47,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum monococcum grains (1g)","Poaceae","Triticum","D",26,92,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum monococcum spikelet forks","Poaceae","Triticum","D",14,83,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum monococcum grains (2g)","Poaceae","Triticum","D",1,83,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",0,11,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Triticum spelta grains","Poaceae","Triticum","D",5,72,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Valerianella dentata (L.) Pollich","Valerianaceae","Valerianella","W",0,8,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",10,64,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Vicia/Lathyrus","Fabaceae","Vicia/Lathyrus","W",0,17,"Late Bronze Age"
"Assiros Toumba","AT-LBAI","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,28,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Agrostemma githago L.","Caryophyllaceae","Agrostemma","W",0,6,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","cf. Festuca elatior L. subsp. arundinacea (Schreber) Hackel","Poaceae","Festuca","W",0,17,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","cf. Telephium imperati","Caryophyllaceae","Telephium","W",0,17,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Chenopodium cf. album","Chenopodiaceae","Chenopodium","W",4,94,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Chenopodium cf. urbicum","Chenopodiaceae","Chenopodium","W",0,28,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Convolvulus arvensis L.","Convolvulaceae","Convolvulus","W",0,6,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Cynodon dactylon (L.) Pers.","Poaceae","Cynodon","W",0,44,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Digitaria sanguinalis (L.) Scop.","Poaceae","Digitaria","W",1,83,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Eragrostis cf. minor","Poaceae","Eragrostis","W",0,50,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Fumaria sp.","Papaveraceae","Fumaria","W",0,22,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Galium spurium L.","Rubiaceae","Galium","W",0,28,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",5,100,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Lithospermum arvense L.","Boraginaceae","Lithospermum","W",0,50,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Lolium sp.","Poaceae","Lolium","W",0,28,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Lolium temulentum L.","Poaceae","Lolium","W",1,94,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Malvaceae indet.","Malvaceae","-","W",0,28,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Medicago sp.","Fabaceae","Medicago","W",1,78,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Panicum miliaceum","Poaceae","Panicum","D",44,100,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Papaver somniferum ssp. setigerum","Papaveraceae","Papaver","D",0,17,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Plantago sp.","Plantaginaceae","Plantago","W",0,11,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Polygonum aviculare L.","Polygonaceae","Polygonum","W",1,61,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Polygonum convolvulus L.","Polygonaceae","Polygonum","W",0,67,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Portulaca oleracea L.","Portulacaceae","Portulaca","K",2,78,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Rubus fruticosus agg.","Rosaceae","Rubus","W",0,50,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Rumex acetosella L.","Polygonaceae","Rumex","W",0,33,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Rumex sp.","Polygonaceae","Rumex","W",0,22,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Setaria viridis (L.) P. Beauv.","Poaceae","Setaria","W",1,89,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Teucrium cf. chamaedrys","Lamiaceae","Teucrium","W",0,39,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum dicoccum/spelta glume bases","Poaceae","Triticum","D",0,11,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum spelta glume bases","Poaceae","Triticum","D",0,6,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum dicoccum grains","Poaceae","Triticum","D",2,72,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum dicoccum glume bases","Poaceae","Triticum","D",0,6,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",0,61,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum monococcum grains (1g)","Poaceae","Triticum","D",23,100,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum monococcum spikelet forks","Poaceae","Triticum","D",1,61,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum monococcum grains (2g)","Poaceae","Triticum","D",2,89,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",0,22,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Triticum spelta grains","Poaceae","Triticum","D",1,50,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Valerianella dentata (L.) Pollich","Valerianaceae","Valerianella","W",0,17,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",9,89,"Late Bronze Age"
"Assiros Toumba","AT-LBAII","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,78,"Late Bronze Age"
"Asvan Kale (Asvan)","AK_LBA","Adonis sp.","Ranunculaceae","Adonis","W",0,50,"Late Bronze Age"
"Asvan Kale (Asvan)","AK_LBA","Galium sp.","Rubiaceae","Galium","W",2,50,"Late Bronze Age"
