"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"'Afula","AF_MB","Avena sp.","Poaceae","Avena","W",3,50,"Middle Bronze Age"
"'Afula","AF_MB","Cicer pinnatifidum","Fabaceae","Cicer","W",6,50,"Middle Bronze Age"
"'Afula","AF_MB","Poaceae indet.","Poaceae","-","W",8,50,"Middle Bronze Age"
"'Afula","AF_MB","Hordeum sp. rachis internodes","Poaceae","Hordeum","W",3,50,"Middle Bronze Age"
"'Afula","AF_MB","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",11,50,"Middle Bronze Age"
"'Afula","AF_MB","Hordeum sp. (wild)","Poaceae","Hordeum","W",6,50,"Middle Bronze Age"
"'Afula","AF_MB","indeterminata","-","-","W",8,50,"Middle Bronze Age"
"'Afula","AF_MB","Papilionaceae indet.","Fabaceae","-","W",6,50,"Middle Bronze Age"
"'Afula","AF_MB","Phalaris sp.","Poaceae","Phalaris","W",3,50,"Middle Bronze Age"
"'Afula","AF_MB","Triticum dicoccum grains","Poaceae","Triticum","D",3,50,"Middle Bronze Age"
"'Afula","AF_MB","Triticum dicoccum spikelet forks","Poaceae","Triticum","D",28,50,"Middle Bronze Age"
"'Afula","AF_MB","Triticum species free threshing wheat tetraploid grains","Poaceae","Triticum","D",3,50,"Middle Bronze Age"
"'Afula","AF_MB","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",14,100,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Adonis sp.","Ranunculaceae","Adonis","W",0,20,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Galium spurium L.","Rubiaceae","Galium","W",0,20,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",11,100,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Lathyrus sativus L.","Fabaceae","Lathyrus","D",1,40,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Lens culinaris Medik.","Fabaceae","Lens","D",0,100,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Linum usitatissimum L.","Linaceae","Linum","D",0,40,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Lolium remotum Schrank","Poaceae","Lolium","W",0,20,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Panicum miliaceum","Poaceae","Panicum","D",0,20,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Potamogeton sp.","Potamogetonaceae","Potamogeton","W",0,20,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Sherardia arvensis L.","Rubiaceae","Sherardia","W",0,20,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Triticum dicoccum grains","Poaceae","Triticum","D",0,20,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Triticum dicoccum glume bases","Poaceae","Triticum","D",0,40,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Triticum monococcum glume bases","Poaceae","Triticum","D",0,40,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,80,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",17,100,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Vicia faba L.","Fabaceae","Vicia","D",71,100,"Middle Bronze Age"
"Agios Mamas","AM_MBA","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,60,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Cereal indeterminate grains","Poaceae","-","D",0,100,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Chenopodiaceae indet.","Chenopodiaceae","-","W",0,67,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Brassicaceae indet.","Brassicaceae","-","W",0,33,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Ficus carica L.","Moraceae","Ficus","D",0,100,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Galium spurium L.","Rubiaceae","Galium","W",0,33,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Poaceae indet.","Poaceae","-","W",0,33,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",0,67,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Fabaceae sat. indet.","Fabaceae","-","D",0,33,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Lens culinaris Medik.","Fabaceae","Lens","D",0,33,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Lithospermum arvense L.","Boraginaceae","Lithospermum","W",0,33,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Lolium temulentum L.","Poaceae","Lolium","W",0,67,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Triticum dicoccum grains","Poaceae","Triticum","D",0,67,"Middle Bronze Age"
"Argissa-Magoula","ARG-MBAI","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,100,"Middle Bronze Age"
