"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Kissonerga","KISS_MC","category: wet loving species","-","-","W",0,6,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Celtis sp.","Ulmaceae","Celtis","W",0,1,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Cereal indeterminate grains","Poaceae","-","D",0,38,"Middle Chalcolithic"
"Kissonerga","KISS_MC","cf. Triticum monococcum","Poaceae","Triticum","W",0,1,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Cicer arietinum L.","Fabaceae","Cicer","D",0,2,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Ficus carica L.","Moraceae","Ficus","D",0,78,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Poaceae indet. wild","Poaceae","-","W",0,82,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",0,46,"Middle Chalcolithic"
"Kissonerga","KISS_MC","indeterminata","-","-","W",0,24,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Fabaceae indet.","Fabaceae","-","W",0,58,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Lens sp.","Fabaceae","Lens","D",0,57,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Linum usitatissimum L.","Linaceae","Linum","D",0,1,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Olea europaea L.","Oleaceae","Olea","D",0,22,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Pistacia atlantica/terebinthus","Anacardiaceae","Pistacia","W",0,40,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Triticum monococcum/dicoccum grains","Poaceae","Triticum","D",0,4,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Triticum dicoccum grains","Poaceae","Triticum","D",0,10,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",0,9,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Vicia sp.","Fabaceae","Vicia","D",0,4,"Middle Chalcolithic"
"Kissonerga","KISS_MC","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,44,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Aegilops sp. grains","Poaceae","Aegilops","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Astragalus sp.","Fabaceae","Astragalus","W",0,100,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Cereal indeterminate grains","Poaceae","-","D",0,100,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","cf. Trifolium/Trigonella","Fabaceae","Trifolium/Trigonella","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Galium sp.","Rubiaceae","Galium","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Poaceae indet. large","Poaceae","-","W",0,100,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Hordeum sp. grains","Poaceae","Hordeum","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","indeterminata","-","-","W",0,100,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Lathyrus sp.","Fabaceae","Lathyrus","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Lens sp.","Fabaceae","Lens","D",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Lolium sp.","Poaceae","Lolium","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Medicago sp.","Fabaceae","Medicago","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Pisum sp.","Fabaceae","Pisum","W",0,50,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Triticum species indeterminate glume wheat spikelet forks","Poaceae","Triticum","D",0,100,"Middle Chalcolithic"
"Kurban Höyük","KUH_MC","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",0,50,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Adonis dentata Del.","Ranunculaceae","Adonis","W",1,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Ajuga iva","Lamiaceae","Ajuga","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Arnebia decumbens (Vent.) Cosson & Kralik","Boraginaceae","Arnebia","W",3,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Asphodelus tenuifolius","Xanthorrhoeaceae","Asphodelus","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Astragalus sp.","Fabaceae","Astragalus","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Astragalus tribuloides","Fabaceae","Astragalus","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Avena sp. awns","Poaceae","Avena","W",0,67,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Avena sterilis L.","Poaceae","Avena","W",0,67,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Bupleurum lancifolium","Apiaceae","Bupleurum","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Chenopodium murale L.","Chenopodiaceae","Chenopodium","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Heliotropium europaeum L.","Boraginaceae","Heliotropium","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Hippocrepis unisiliquosa L.","Fabaceae","Hippocrepis","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Hordeum distichum/vulgare rachis","Poaceae","Hordeum","D",19,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",13,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","indeterminata","-","-","W",12,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Lens sp.","Fabaceae","Lens","D",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Malva parviflora L.","Malvaceae","Malva","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Minuartia hybrida (Vill.)Schischk.","Caryophyllaceae","Minuartia","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Phalaris minor Retz","Poaceae","Phalaris","W",0,67,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Pistacia sp.","Anacardiaceae","Pistacia","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Plantago sp.","Plantaginaceae","Plantago","W",1,67,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Reboudia pinnata  (Viv.) O.E. Schulz","Brassicaceae","Reboudia","W",4,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Reseda decursiva","Resedaceae","Reseda","W",1,67,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Teucrium polium L.","Lamiaceae","Teucrium","W",0,67,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Thymelaea hirsuta (L.) Endl.","Thymelaeaceae","Thymelaea","W",0,33,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Trigonella arabica","Fabaceae","Trigonella","W",27,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Triticum dicoccum grains","Poaceae","Triticum","D",0,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Triticum dicoccum spikelet forks","Poaceae","Triticum","D",16,100,"Middle Chalcolithic"
"Shiqmim","SQ_UV","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",0,67,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Poaceae indet.","Poaceae","-","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Hordeum sp. awns","Poaceae","Hordeum","W",94,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Hordeum sp. grains","Poaceae","Hordeum","W",1,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Lolium rigidum/persicum","Poaceae","Lolium","W",1,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Prosopis farcta (Banks & Sol.) Macbride in Contrib. Gray Herb","Fabaceae","Prosopis","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Tamarix sp. wood","Tamaricaceae","Tamarix","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Triticum monococcum/dicoccum glume bases","Poaceae","Triticum","D",2,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Triticum monococcum/dicoccum spikelet forks","Poaceae","Triticum","D",1,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Triticum species indeterminate free threshing wheat rachis","Poaceae","Triticum","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-3","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Cyperus rotundus L.","Cyperaceae","Cyperus","W",1,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Poaceae indet.","Poaceae","-","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Hordeum vulgare vulgare grain (hulled)","Poaceae","Hordeum","D",98,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Hordeum sp. grains","Poaceae","Hordeum","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Hordeum sp. (imprints)","Poaceae","Hordeum","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Hordeum vulgare vulgare rachis","Poaceae","Hordeum","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Linum usitatissimum L.","Linaceae","Linum","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Phoenix dactylifera L. wood","Palmaceae","Phoenix","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Phragmites australis (Cav.) Trin.","Poaceae","Phragmites","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Populus euphratica wood","Salicaceae","Populus","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Rumex sp.","Polygonaceae","Rumex","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Scirpus maritimus L.","Cyperaceae","Scirpus","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Tamarix sp. wood","Tamaricaceae","Tamarix","W",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Triticum monococcum/dicoccum glume bases","Poaceae","Triticum","D",1,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Triticum monococcum/dicoccum spikelet forks","Poaceae","Triticum","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Triticum species indeterminate fr thr/gl wheat grains","Poaceae","Triticum","D",0,0,"Middle Chalcolithic"
"Tell el'Oueili","TO-4","Vicia sativa ssp. angustifolia","Fabaceae","Vicia","D",0,0,"Middle Chalcolithic"
"Tepe Farukhabad","TF-B","cf. Trifolium sp.","Fabaceae","Trifolium","W",20,0,"Middle Chalcolithic"
"Tepe Farukhabad","TF-B","indeterminata","-","-","W",20,0,"Middle Chalcolithic"
"Tepe Farukhabad","TF-B","Fabaceae indet.","Fabaceae","-","W",20,0,"Middle Chalcolithic"
"Tepe Farukhabad","TF-B","Medicago sp.","Fabaceae","Medicago","W",10,0,"Middle Chalcolithic"
"Tepe Farukhabad","TF-B","Triticum species indeterminate glume wheat spikelet forks","Poaceae","Triticum","D",20,0,"Middle Chalcolithic"
"Tepe Farukhabad","TF-B","Trigonella sp.","Fabaceae","Trigonella","W",10,0,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Amygdalus sp.","Rosaceae","Amygdalus","W",0,50,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","cf. Astragalus sp.","Fabaceae","Astragalus","W",6,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","cf. Lolium sp.","Poaceae","Lolium","W",6,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","cf. Medicago sp.","Fabaceae","Medicago","W",3,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Poaceae indet.","Poaceae","-","W",6,50,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Hordeum distichum/vulgare grain","Poaceae","Hordeum","D",6,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","indeterminata","-","-","W",3,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Fabaceae indet.","Fabaceae","-","W",3,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Lithospermum arvense L.","Boraginaceae","Lithospermum","W",3,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Medicago sp.","Fabaceae","Medicago","W",27,50,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Triticum dicoccum/dicoccoides grains","Poaceae","Triticum","W",15,25,"Middle Chalcolithic"
"Tepe Farukhabad","TF-F","Triticum species indeterminate glume wheat spikelet forks","Poaceae","Triticum","D",21,50,"Middle Chalcolithic"
"Tepecik","TEP-CH","Hordeum distichum grain (hulled)","Poaceae","Hordeum","D",31,67,"Middle Chalcolithic"
"Tepecik","TEP-CH","Pistacia sp.","Anacardiaceae","Pistacia","W",2,17,"Middle Chalcolithic"
"Tepecik","TEP-CH","Pisum sativum L.","Fabaceae","Pisum","D",6,50,"Middle Chalcolithic"
"Tepecik","TEP-CH","Triticum dicoccum grains","Poaceae","Triticum","D",42,83,"Middle Chalcolithic"
"Tepecik","TEP-CH","Triticum species indeterminate free threshing wheat grains","Poaceae","Triticum","D",10,50,"Middle Chalcolithic"
"Tepecik","TEP-CH","Triticum monococcum grains (1/2g)","Poaceae","Triticum","D",2,17,"Middle Chalcolithic"
"Tepecik","TEP-CH","Vicia ervilia (L.) Willd.","Fabaceae","Vicia","D",6,50,"Middle Chalcolithic"
