"Site","Phase","Taxon","Family","Genus","domestic_wild","Proportion_per_Phase","Ubquity","Period"
"Kalopsidha","KS_LMC","Bromus sp.","Poaceae","Bromus","W",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Fumaria vaillantii Lois.","Papaveraceae","Fumaria","W",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Galium tricornutum Dandy","Rubiaceae","Galium","W",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Hordeum distichum/vulgare grain (hulled)","Poaceae","Hordeum","D",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Lens culinaris Medik.","Fabaceae","Lens","D",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Lolium temulentum L.","Poaceae","Lolium","W",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Malva nicaeensis All.","Malvaceae","Malva","W",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Pistacia atlantica Desf.","Anacardiaceae","Pistacia","D",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Triticum species free threshing wheat hexaploid grains","Poaceae","Triticum","D",0,0,"Middle-Late Bronze Age"
"Kalopsidha","KS_LMC","Vitis vinifera L. pips","Vitaceae","Vitis","D",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Amygdalus communis L.","Rosaceae","Amygdalus","D",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Angiospermae wood","Angiospermae","Angiospermae","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Boraginaceae indeterminate","Boraginaceae","-","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Capparis spinosa L.","Capparaceae","Capparis","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Centaurea sp. L.","Asteraceae","Centaurea","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Chenopodiaceae indet.","Chenopodiaceae","-","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Cicer sp.","Fabaceae","Cicer","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Asteraceae indet.","Asteraceae","-","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Cyperus sp.","Cyperaceae","Cyperus","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Ficus sp.","Moraceae","Ficus","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Fumaria sp.","Papaveraceae","Fumaria","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Galium sp.","Rubiaceae","Galium","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Poaceae indet.","Poaceae","-","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Gymnospermae","Gymnospermae","Gymnospermae","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Gymnospermae wood","Gymnospermae","Gymnospermae","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Heliotropium L. sp.","Boraginaceae","Heliotropium","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Hordeum sp. grains","Poaceae","Hordeum","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","indeterminata","-","-","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Lens sp.","Fabaceae","Lens","D",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Lithospermum arvense L.","Boraginaceae","Lithospermum","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Malva sp.","Malvaceae","Malva","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Medicago sp.","Fabaceae","Medicago","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Olea europaea L.","Oleaceae","Olea","D",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Oxalis sp.","Oxalidaceae","Oxalis","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Picris sp. L.","Asteraceae","Picris","W",0,0,"Middle-Late Bronze Age"
"Marki-Alonia","MA","Pistacia sp.","Anacardiaceae","Pistacia","W",0,0,"Middle-Late Bronze Age"
